date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,house_age,years_since_renovation,total_sqft,price_per_sqft,bed_to_bath_ratio
2014-05-02,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA,68,18,9252,233.5820895522388,2.0
2014-05-02,342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,57,0,13877,177.2020725388601,1.5
2014-05-02,420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,60,0,10030,210.0,1.3333333333333333
2014-05-02,550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,47,31,12440,283.50515463917526,1.6
2014-05-02,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA,85,29,7260,556.8181818181819,2.0
2014-05-02,335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,47,0,3910,248.14814814814815,1.0
2014-05-02,482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,34,0,38578,177.85977859778598,1.6
2014-05-02,452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,38,0,90856,186.21399176954733,1.2
2014-05-02,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,78,13,7720,421.05263157894734,2.0
2014-05-02,463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,75,29,9030,270.7602339181287,1.7142857142857142
2014-05-02,588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,43,0,17222,252.57510729613733,1.7142857142857142
2014-05-02,365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,68,14,7525,334.86238532110093,3.0
2014-05-02,242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,58,0,10920,202.08333333333334,2.0
2014-05-02,419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,67,0,8270,266.8789808917197,2.0
2014-05-02,367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,26,0,10341,118.16720257234726,1.3333333333333333
2014-05-02,257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA,36,23,7228,188.28467153284672,1.7142857142857142
2014-05-02,275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA,40,14,11457,233.05084745762713,2.0
2014-05-02,750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,100,0,12818,334.82142857142856,1.7142857142857142
2014-05-02,435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA,69,44,10250,300.0,4.0
2014-05-02,626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,18,0,3322,357.7142857142857,1.3333333333333333
2014-05-02,612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,32,0,14991,224.35897435897436,1.6
2014-05-02,495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA,64,34,7980,309.375,2.2857142857142856
2014-05-02,285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,36,0,12924,136.36363636363637,1.2
